,0
배려,36.19
실행,36.18
징계,36.120000000000005
교직원,36.050000000000004
응시,36.0
판매,35.98
협박,35.97
아내,35.96000000000001
과급,35.96
휴교령,35.95
원인,35.849999999999994
순위,35.74
핸드폰,35.620000000000005
감소,35.55
징역,35.52
사이트,35.51
복직,35.44
기억,35.4
사진,35.36
근로자,35.28
사립학교,35.239999999999995
정권,35.17
교감,35.120000000000005
선진국,35.08
역할,35.03
보건,35.0
학비,34.980000000000004
찬성,34.86
민간,34.82
동일,34.78
유치,34.73
아무것,34.71
예비,34.7
보조금,34.68999999999999
기간제,34.61000000000001
판결,34.59
산업,34.57
중심,34.510000000000005
노동,34.5
정서,34.5
소통,34.45
유해물질,34.43
정의,34.410000000000004
도서관,34.39
갑질,34.36000000000001
동생,34.3
신뢰,34.26
충격,34.26
전공,34.23
언론,34.22
보상,34.17
고발,34.13
조기,34.13
체계,34.010000000000005
그동안,33.980000000000004
구조,33.96
취득,33.830000000000005
박탈,33.720000000000006
절차,33.68
한유총,33.58
나머지,33.56
대비,33.5
남녀,33.410000000000004
헌법,33.4
구입,33.35
제시,33.34
여유,33.31
제기,33.31
원래,33.29
사학,33.24
국회,33.239999999999995
회계,33.22
존중,33.150000000000006
위배,33.14
과외,33.11
체벌,33.09
평균,33.059999999999995
의지,33.0
초중고,32.980000000000004
출생,32.95
법률,32.92
휴대폰,32.86
화장실,32.82
오전,32.77
흡연,32.77
쌍둥이,32.76
문의,32.75
부여,32.72
수강,32.7
통보,32.68
전면,32.61
의원,32.47
대우,32.42
다수,32.410000000000004
국립,32.410000000000004
도덕,32.39
사유,32.34
자사,32.29
셋째,32.24
불만,32.160000000000004
물건,32.150000000000006
마지막,32.150000000000006
임명,32.13
형평,32.1
폐교,32.089999999999996
효율,32.07
민주주의,32.06
지지,32.06
주부,32.06
점심,32.04
동시,32.03
아무,32.01
가정어린이집,31.940000000000005
혈세,31.93
시장,31.92
장난,31.85
대회,31.819999999999997
건물,31.78
예정,31.760000000000005
건의,31.7
순간,31.690000000000005
특정,31.650000000000002
신설,31.6
접수,31.589999999999996
기숙사,31.580000000000002
심리,31.58
기술,31.540000000000003
성폭행,31.520000000000003
학원비,31.49
특수학교,31.439999999999998
청원드,31.42
지출,31.380000000000003
관계자,31.36
공휴일,31.3
심정,31.240000000000002
증거,31.21
여행,31.200000000000003
토론,31.19
미혼모,31.14
적응,31.07
강력,31.07
시험지,31.009999999999998
치마,30.939999999999998
평준,30.9
여고,30.889999999999997
재정,30.84
의식,30.84
파악,30.830000000000002
논란,30.71
대구,30.69
보충,30.6
부탁드,30.6
놀이,30.6
목표,30.59
신체,30.55
보육교사,30.510000000000005
다자녀,30.51
개발,30.5
중단,30.46
대기,30.35
실태,30.300000000000004
담임선생,30.27
거부,30.19
진심,30.12
대화,30.1
유리,30.090000000000003
이나라,30.08
계약,30.000000000000004
장소,30.0
장학,30.0
상식,29.99
약속,29.970000000000002
소송,29.95
감당,29.930000000000003
위치,29.91
희생,29.87
포항,29.710000000000004
확보,29.64
만족,29.62
교내,29.58
대응,29.57
태도,29.54
꿈나무,29.54
우려,29.499999999999996
중등,29.490000000000002
학과,29.38
직장인,29.370000000000005
육아휴직,29.330000000000005
현상,29.31
선정,29.220000000000002
근거,29.209999999999997
연금,29.15
김상곤,29.13
시도,29.09
특혜,29.08
목숨,29.019999999999996
새벽,29.000000000000004
기초,29.0
삭제,28.96
두발,28.95
스마,28.939999999999998
감시,28.919999999999998
방문,28.9
게시물,28.830000000000002
현행,28.83
외고,28.75
형식,28.75
바람,28.729999999999997
전입,28.630000000000003
교직,28.55
소수,28.520000000000003
유출,28.509999999999998
휴일,28.429999999999996
보도,28.41
공무,28.349999999999998
확진자,28.32
형태,28.29
단어,28.27
주입식,28.240000000000002
폐쇄,28.15
지침,28.09
성폭력,28.07
이행,27.92
벌금,27.919999999999998
한글,27.919999999999998
재량,27.910000000000004
연계,27.890000000000004
강남,27.89
자질,27.77
평가인증,27.740000000000002
감염,27.740000000000002
집안,27.67
실현,27.669999999999998
모의고사,27.64
아가,27.639999999999997
인지,27.519999999999996
교시,27.44
전수,27.430000000000003
부활,27.38
법원,27.37
위장,27.349999999999998
군대,27.319999999999997
경쟁력,27.310000000000002
숙명,27.26
긴급,27.25
원칙,27.23
일수,27.19
접종,27.109999999999996
재능,27.1
범위,27.080000000000002
자연,27.080000000000002
조장,27.07
사기,27.040000000000003
학폭위,26.96
통일,26.94
식사,26.880000000000003
이슈,26.87
주택,26.86
학년때,26.84
엄벌,26.8
수도,26.740000000000002
치원,26.74
실업,26.7
미세,26.67
흙수저,26.64
코로나,26.630000000000003
조작,26.63
최대,26.61
공감,26.6
저출산,26.43
예상,26.41
영역,26.370000000000005
출석,26.37
방해,26.36
납부,26.330000000000002
기분,26.290000000000003
남학생,26.290000000000003
학폭,26.28
성범죄,26.250000000000004
악마,26.240000000000002
양심,26.17
검색,26.169999999999998
동네,26.129999999999995
외부,26.1
주위,26.07
근처,26.060000000000002
급식비,26.02
자퇴,25.999999999999996
컴퓨터,25.970000000000002
과제,25.96
단계,25.96
점심시간,25.93
영아,25.91
로스쿨,25.880000000000003
직장맘,25.880000000000003
신분,25.85
완전,25.770000000000003
수학여행,25.740000000000002
규모,25.71
교통,25.700000000000003
정규직,25.700000000000003
강조,25.680000000000003
어제,25.68
교재,25.650000000000002
스승,25.62
단속,25.61
총장,25.59
제정,25.58
수단,25.57
논리,25.529999999999998
조성,25.509999999999998
향상,25.5
권력,25.470000000000002
이동,25.47
출신,25.439999999999998
규칙,25.42
벌점,25.370000000000005
쓰레기,25.35
휴식,25.349999999999998
욕설,25.319999999999997
생계,25.300000000000004
음악,25.270000000000003
http,25.259999999999998
미세먼,25.21
여부,25.160000000000004
감정,25.16
학부,25.159999999999997
청산,25.14
구분,25.12
에어컨,25.049999999999994
최고,25.04
죽음,25.02
위반,25.02
유학,25.01
확충,24.979999999999997
점검,24.97
휴업,24.95
기재,24.919999999999998
납득,24.900000000000002
허가,24.88
자유학기,24.759999999999998
진정,24.75
미술,24.739999999999995
가치,24.71
근절,24.709999999999997
학교장,24.709999999999997
탁상,24.7
천만,24.69
여건,24.680000000000003
최선,24.68
내부,24.66
주일,24.66
객관,24.659999999999997
서울대,24.63
종교,24.62
공사,24.61
사형,24.599999999999998
제재,24.590000000000003
공문,24.580000000000002
프로,24.570000000000004
위협,24.57
질문,24.55
미만,24.51
갈등,24.51
의도,24.44
격차,24.43
휴게시간,24.42
집행,24.41
야기,24.310000000000002
활성,24.31
국제,24.250000000000004
가난,24.240000000000006
페지,24.21
검정,24.160000000000004
어이,24.16
국내,24.130000000000003
일방,24.1
동등,24.1
여론,24.090000000000003
신상,24.02
보통,24.0
검출,23.990000000000002
해소,23.970000000000002
공지,23.950000000000003
입양,23.949999999999996
대답,23.94
다사교,23.939999999999998
싸움,23.92
바지,23.9
형성,23.9
토요일,23.87
